iter	Passed	Remaining
0	178	178041
1	182	90958
2	185	61676
3	188	47015
4	192	38230
5	195	32332
6	199	28240
7	201	24985
8	204	22484
9	206	20411
10	208	18702
11	210	17343
12	212	16152
13	214	15119
14	216	14205
15	217	13399
16	219	12680
17	220	12042
18	222	11492
19	223	10971
20	224	10483
21	226	10048
22	227	9656
23	228	9294
24	229	8947
25	230	8622
26	230	8324
27	231	8042
28	232	7780
29	233	7535
30	233	7307
31	234	7091
32	235	6888
33	235	6702
34	236	6529
35	237	6369
36	238	6208
37	239	6058
38	239	5913
39	240	5774
40	241	5642
41	241	5515
42	242	5395
43	243	5282
44	243	5172
45	244	5067
46	244	4967
47	245	4870
48	246	4777
49	246	4688
50	247	4602
51	247	4518
52	248	4441
53	249	4364
54	249	4294
55	250	4229
56	251	4165
57	252	4100
58	253	4040
59	254	3980
60	254	3922
61	255	3866
62	256	3812
63	257	3761
64	257	3711
65	258	3660
66	259	3611
67	259	3561
68	260	3513
69	260	3466
70	261	3420
71	261	3375
72	262	3331
73	262	3289
74	263	3248
75	263	3208
76	264	3169
77	265	3134
78	265	3099
79	266	3064
80	266	3028
81	267	2996
82	267	2960
83	268	2927
84	269	2897
85	269	2867
86	270	2836
87	270	2806
88	271	2775
89	271	2746
90	272	2717
91	272	2689
92	273	2662
93	273	2635
94	273	2608
95	274	2582
96	274	2557
97	275	2532
98	275	2507
99	275	2483
100	276	2460
101	276	2437
102	277	2414
103	277	2392
104	278	2371
105	278	2349
106	279	2329
107	279	2309
108	280	2291
109	280	2272
110	281	2253
111	281	2234
112	282	2215
113	282	2196
114	283	2178
115	283	2160
116	283	2142
117	284	2125
118	284	2108
119	285	2091
120	285	2075
121	286	2058
122	286	2042
123	286	2027
124	287	2011
125	287	1996
126	288	1981
127	288	1966
128	289	1951
129	289	1937
130	289	1923
131	290	1909
132	290	1895
133	291	1882
134	291	1869
135	292	1855
136	292	1843
137	293	1830
138	293	1818
139	294	1806
140	294	1795
141	295	1783
142	295	1772
143	296	1760
144	296	1748
145	297	1737
146	297	1726
147	297	1715
148	298	1704
149	298	1693
150	299	1682
151	299	1672
152	300	1661
153	300	1651
154	301	1641
155	301	1631
156	301	1621
157	302	1611
158	302	1601
159	303	1591
160	303	1581
161	303	1572
162	304	1562
163	304	1553
164	305	1544
165	305	1536
166	306	1527
167	306	1518
168	307	1509
169	307	1501
170	307	1492
171	308	1484
172	308	1476
173	309	1469
174	310	1463
175	310	1455
176	311	1447
177	311	1440
178	312	1432
179	312	1424
180	313	1417
181	313	1409
182	314	1402
183	314	1395
184	315	1389
185	315	1382
186	316	1375
187	316	1368
188	317	1361
189	317	1354
190	318	1347
191	318	1340
192	319	1333
193	319	1327
194	319	1320
195	320	1314
196	320	1307
197	321	1301
198	321	1294
199	322	1288
200	322	1282
201	322	1275
202	323	1269
203	323	1264
204	324	1258
205	324	1252
206	325	1246
207	325	1241
208	326	1235
209	326	1229
210	327	1223
211	327	1218
212	328	1212
213	328	1206
214	328	1201
215	329	1195
216	329	1190
217	330	1184
218	330	1179
219	331	1174
220	331	1168
221	332	1163
222	332	1158
223	332	1153
224	333	1148
225	333	1143
226	334	1138
227	334	1133
228	335	1128
229	335	1123
230	335	1118
231	336	1113
232	336	1108
233	337	1104
234	337	1099
235	338	1094
236	338	1090
237	339	1085
238	339	1081
239	340	1077
240	340	1073
241	341	1069
242	341	1064
243	342	1060
244	342	1055
245	343	1051
246	343	1047
247	343	1042
248	344	1038
249	344	1034
250	345	1030
251	345	1025
252	346	1021
253	346	1017
254	346	1013
255	347	1009
256	347	1005
257	348	1001
258	348	997
259	349	993
260	349	989
261	350	985
262	350	982
263	350	978
264	351	974
265	351	970
266	352	966
267	352	963
268	353	959
269	353	956
270	354	954
271	355	951
272	356	948
273	356	944
274	357	941
275	357	938
276	358	934
277	358	931
278	359	927
279	359	924
280	359	921
281	360	917
282	360	914
283	361	910
284	361	907
285	362	904
286	362	901
287	363	897
288	363	894
289	364	891
290	364	888
291	364	884
292	365	881
293	365	878
294	366	875
295	366	872
296	367	869
297	367	866
298	368	863
299	368	860
300	369	858
301	370	856
302	371	853
303	371	851
304	372	848
305	372	845
306	373	843
307	374	840
308	374	838
309	375	835
310	375	832
311	376	829
312	376	827
313	377	824
314	377	821
315	378	818
316	378	816
317	379	813
318	379	810
319	380	808
320	380	805
321	381	803
322	382	801
323	382	798
324	383	796
325	383	793
326	384	791
327	385	789
328	386	787
329	386	785
330	387	782
331	387	780
332	388	778
333	389	775
334	389	773
335	390	771
336	390	768
337	391	766
338	391	764
339	392	761
340	392	759
341	393	756
342	393	754
343	394	752
344	395	750
345	395	747
346	396	745
347	396	743
348	397	740
349	397	738
350	398	736
351	399	734
352	399	733
353	400	730
354	401	728
355	401	726
356	402	724
357	402	722
358	403	720
359	403	718
360	404	716
361	405	714
362	406	712
363	406	710
364	407	708
365	407	706
366	408	704
367	408	701
368	409	699
369	409	697
370	410	695
371	410	693
372	411	691
373	411	688
374	412	686
375	412	684
376	412	682
377	413	680
378	414	678
379	414	676
380	415	674
381	415	672
382	416	670
383	416	668
384	417	666
385	417	664
386	418	662
387	418	660
388	419	658
389	419	656
390	420	654
391	420	652
392	421	650
393	421	648
394	422	646
395	422	644
396	423	642
397	423	640
398	423	638
399	424	636
400	424	634
401	425	632
402	425	630
403	426	628
404	426	626
405	427	624
406	427	623
407	428	621
408	428	619
409	429	618
410	430	616
411	430	614
412	431	613
413	431	611
414	432	609
415	433	608
416	433	606
417	434	604
418	434	602
419	435	601
420	435	599
421	436	597
422	436	595
423	437	593
424	437	592
425	438	590
426	438	588
427	438	586
428	439	584
429	439	583
430	440	581
431	440	579
432	441	577
433	441	576
434	442	574
435	442	572
436	443	571
437	444	569
438	444	568
439	445	566
440	445	565
441	446	563
442	447	562
443	447	560
444	448	558
445	448	557
446	448	555
447	449	553
448	449	552
449	450	550
450	450	548
451	451	547
452	451	545
453	452	543
454	452	542
455	453	540
456	453	538
457	453	537
458	454	535
459	454	533
460	455	532
461	455	530
462	456	529
463	456	527
464	457	525
465	457	524
466	458	523
467	459	521
468	459	520
469	460	518
470	460	517
471	461	515
472	461	514
473	462	512
474	462	511
475	463	509
476	463	508
477	464	506
478	464	505
479	465	503
480	465	502
481	466	500
482	466	499
483	467	498
484	467	496
485	468	495
486	468	493
487	469	492
488	469	490
489	470	489
490	470	487
491	471	486
492	471	485
493	472	483
494	472	482
495	473	481
496	474	480
497	474	478
498	475	477
499	475	475
500	476	474
501	476	473
502	477	471
503	478	470
504	478	469
505	479	467
506	479	466
507	480	465
508	480	463
509	481	462
510	481	461
511	482	459
512	483	458
513	483	457
514	484	456
515	485	455
516	485	453
517	486	452
518	487	451
519	488	450
520	488	449
521	489	448
522	489	446
523	490	445
524	490	444
525	491	442
526	492	441
527	492	440
528	492	438
529	493	437
530	493	436
531	494	434
532	494	433
533	495	432
534	495	430
535	496	429
536	496	428
537	497	427
538	497	425
539	498	424
540	498	423
541	499	422
542	499	420
543	500	419
544	500	418
545	501	416
546	501	415
547	502	414
548	502	413
549	503	412
550	504	410
551	504	409
552	505	408
553	505	406
554	505	405
555	506	404
556	506	403
557	507	401
558	507	400
559	508	399
560	508	398
561	509	396
562	509	395
563	509	394
564	510	393
565	510	391
566	511	390
567	511	389
568	512	388
569	512	386
570	513	385
571	513	384
572	514	383
573	514	381
574	515	380
575	515	379
576	516	378
577	516	377
578	517	375
579	517	374
580	518	373
581	519	372
582	519	371
583	520	370
584	520	369
585	520	368
586	521	366
587	521	365
588	522	364
589	522	363
590	523	362
591	523	360
592	524	359
593	524	358
594	525	357
595	525	356
596	526	355
597	526	353
598	526	352
599	527	351
600	527	350
601	528	349
602	528	348
603	529	346
604	529	345
605	530	344
606	530	343
607	531	342
608	531	341
609	531	340
610	532	339
611	533	338
612	533	337
613	534	336
614	535	334
615	535	333
616	535	332
617	536	331
618	536	330
619	537	329
620	537	328
621	538	327
622	538	326
623	539	324
624	539	323
625	540	322
626	540	321
627	541	320
628	541	319
629	542	318
630	542	317
631	543	316
632	543	315
633	544	314
634	544	313
635	545	311
636	545	310
637	546	309
638	546	308
639	547	308
640	548	307
641	549	306
642	550	305
643	550	304
644	551	303
645	552	302
646	552	301
647	553	300
648	553	299
649	554	298
650	555	297
651	555	296
652	556	295
653	556	294
654	557	293
655	557	292
656	557	291
657	558	290
658	558	289
659	559	288
660	559	287
661	560	285
662	560	284
663	560	283
664	561	282
665	561	281
666	562	280
667	563	279
668	563	278
669	564	278
670	565	277
671	565	276
672	566	275
673	567	274
674	567	273
675	568	272
676	569	271
677	569	270
678	570	269
679	571	268
680	571	267
681	572	266
682	573	265
683	573	265
684	574	264
685	574	263
686	575	262
687	575	261
688	576	260
689	576	258
690	576	258
691	577	257
692	578	256
693	578	255
694	579	254
695	579	253
696	580	252
697	581	251
698	581	250
699	582	249
700	582	248
701	583	247
702	583	246
703	584	245
704	584	244
705	585	243
706	585	242
707	586	241
708	586	240
709	587	239
710	587	238
711	588	238
712	589	237
713	589	236
714	590	235
715	590	234
716	591	233
717	591	232
718	592	231
719	592	230
720	593	229
721	593	228
722	594	227
723	594	226
724	595	225
725	595	224
726	596	223
727	596	222
728	597	221
729	597	220
730	597	220
731	598	219
732	598	218
733	599	217
734	599	216
735	600	215
736	600	214
737	601	213
738	601	212
739	601	211
740	602	210
741	602	209
742	603	208
743	603	207
744	604	206
745	604	205
746	605	204
747	605	204
748	606	203
749	606	202
750	607	201
751	607	200
752	608	199
753	609	198
754	609	197
755	610	196
756	610	196
757	611	195
758	611	194
759	612	193
760	612	192
761	612	191
762	613	190
763	613	189
764	614	188
765	614	187
766	615	186
767	615	185
768	616	185
769	616	184
770	617	183
771	617	182
772	618	181
773	618	180
774	619	179
775	619	178
776	619	177
777	620	177
778	620	176
779	621	175
780	621	174
781	622	173
782	623	172
783	623	171
784	624	171
785	625	170
786	625	169
787	625	168
788	626	167
789	626	166
790	627	165
791	627	164
792	628	163
793	628	163
794	629	162
795	629	161
796	629	160
797	630	159
798	630	158
799	631	157
800	631	157
801	632	156
802	632	155
803	633	154
804	633	153
805	634	152
806	634	151
807	635	150
808	635	150
809	635	149
810	636	148
811	637	147
812	637	146
813	638	145
814	638	145
815	639	144
816	640	143
817	640	142
818	641	141
819	641	140
820	641	139
821	642	139
822	642	138
823	643	137
824	643	136
825	644	135
826	644	134
827	645	134
828	645	133
829	646	132
830	646	131
831	647	130
832	647	129
833	648	128
834	648	128
835	648	127
836	649	126
837	649	125
838	650	124
839	650	123
840	651	123
841	651	122
842	652	121
843	652	120
844	653	119
845	654	119
846	654	118
847	655	117
848	656	116
849	656	115
850	657	115
851	658	114
852	658	113
853	659	112
854	659	111
855	660	111
856	660	110
857	661	109
858	661	108
859	661	107
860	662	106
861	662	106
862	663	105
863	663	104
864	664	103
865	664	102
866	665	102
867	665	101
868	665	100
869	666	99
870	667	98
871	667	98
872	668	97
873	668	96
874	669	95
875	670	94
876	670	94
877	670	93
878	671	92
879	671	91
880	672	90
881	672	90
882	673	89
883	673	88
884	674	87
885	675	86
886	675	86
887	676	85
888	676	84
889	677	83
890	677	82
891	678	82
892	678	81
893	679	80
894	679	79
895	680	78
896	680	78
897	681	77
898	681	76
899	682	75
900	683	75
901	683	74
902	684	73
903	684	72
904	685	71
905	685	71
906	685	70
907	686	69
908	686	68
909	687	67
910	688	67
911	688	66
912	689	65
913	689	64
914	689	64
915	690	63
916	690	62
917	691	61
918	691	60
919	692	60
920	692	59
921	693	58
922	693	57
923	694	57
924	694	56
925	694	55
926	695	54
927	696	54
928	696	53
929	697	52
930	698	51
931	698	50
932	699	50
933	700	49
934	700	48
935	700	47
936	701	47
937	701	46
938	702	45
939	702	44
940	703	44
941	703	43
942	704	42
943	704	41
944	705	41
945	705	40
946	705	39
947	706	38
948	706	37
949	707	37
950	707	36
951	708	35
952	708	34
953	709	34
954	709	33
955	710	32
956	710	31
957	710	31
958	711	30
959	712	29
960	712	28
961	713	28
962	713	27
963	714	26
964	715	25
965	715	25
966	716	24
967	716	23
